VOLL,Hardening,Tiger Dam,Deployment,Load Loss,Total
9,52.8,6.6,0.75,2.45,62.6
12,34.8,13.08,1.6,2.25,51.73
15,24.0,17.04,2.08,1.33,44.45
18,16.8,19.8,2.46,0.32,39.38
21,0.0,26.4,3.23,0.3,29.93
